company,size,industry,city,state,contacts,roles,interactions,interactionSubjects,daysSinceLastInteraction,averageOfferValue,offerClosed,offerHitRate,daysSinceLastOfferClosed,customerClassification
"Doyle, Burnett and White",Medium,Electric Vehicle (EV) Industry,Smithbury,Colorado,2,"Technical Representative, Sales Manager",8,"Product feedback, Follow-up on order, Contract negotiation, Customer inquiry, Discuss project details",280,10159.61,7,0.39,117,C
Lawson and Sons,Small,Connected Car Solutions Providers,West Chad,Hawaii,1,CFO,16,"Contract negotiation, Product feedback, Follow-up on proposal, Customer inquiry, Product demostration, Follow-up on order, Discuss project details",63,9752.71,11,0.42,158,A
Stone LLC,Small,Automotive R&D and Testing Centers,Port Nicholas,West Virginia,2,"CCO, CFO",21,"Contract negotiation, Product demostration, Customer inquiry, Discuss project details, Follow-up on order, Product feedback, Follow-up on proposal",75,10142.46,6,0.33,46,C
Gilmore PLC,Medium,Fleet Management,South Vincentville,Ohio,1,CEO,15,"Product feedback, Follow-up on proposal, Follow-up on order, Discuss project details, Product demostration, Customer inquiry, Contract negotiation",56,10061.67,6,0.55,56,C
Smith-Pitts,Large,Fleet Management,New Michaelshire,Ohio,1,Technical Representative,20,"Follow-up on order, Product feedback, Contract negotiation, Follow-up on proposal, Discuss project details, Product demostration",68,10540.81,4,0.5,200,C
Lambert-Carter,Small,Connected Car Solutions Providers,Mathewville,Hawaii,2,"Technical Representative, Sales Manager",14,"Discuss project details, Follow-up on order, Product demostration, Contract negotiation, Customer inquiry, Product feedback",92,10053.1,11,0.5,94,A
Contreras-Grant,Large,Connected Car Solutions Providers,West Williamtown,Minnesota,1,Sales Manager,18,"Discuss project details, Product demostration, Follow-up on order, Customer inquiry, Contract negotiation, Follow-up on proposal, Product feedback",96,10031.73,9,0.45,79,B
Lang-Perez,Small,Electric Vehicle (EV) Industry,West Christopher,Oregon,4,"CFO, CCO, Sales Representative, CEO",22,"Product feedback, Product demostration, Follow-up on proposal, Discuss project details, Contract negotiation, Follow-up on order, Customer inquiry",40,10179.73,8,0.5,134,B
"Adams, Jones and Robinson",Large,Automotive R&D and Testing Centers,East Brian,Florida,3,"CFO, CEO",16,"Follow-up on order, Product feedback, Discuss project details, Follow-up on proposal, Contract negotiation, Product demostration, Customer inquiry",53,9977.78,9,0.53,83,B
Johnson-Robinson,Small,Electric Vehicle (EV) Industry,Millerhaven,Missouri,2,Sales Representative,14,"Discuss project details, Customer inquiry, Contract negotiation, Follow-up on order, Follow-up on proposal, Product demostration",114,10076.74,9,0.64,55,B
"Williamson, Griffith and Williams",Small,Electric Vehicle (EV) Industry,Lake Christopher,Florida,3,"Technical Representative, CFO, Technical Manager",21,"Follow-up on order, Product demostration, Contract negotiation, Product feedback, Discuss project details, Follow-up on proposal, Customer inquiry",42,10399.67,4,0.24,45,C
"Mcguire, Rodriguez and Durham",Large,Electric Vehicle (EV) Industry,North Maryton,New Mexico,2,"CFO, Technical Manager",12,"Follow-up on proposal, Product feedback, Customer inquiry, Discuss project details, Follow-up on order, Contract negotiation",93,9764.45,8,0.5,49,B
Garcia-West,Small,Automotive R&D and Testing Centers,Port John,New Mexico,3,"Technical Representative, CFO",14,"Contract negotiation, Product demostration, Follow-up on order, Follow-up on proposal, Customer inquiry",39,10159.92,5,0.21,175,C
Smith-Chase,Small,Connected Car Solutions Providers,West Tammy,North Carolina,3,"Technical Manager, CEO, Sales Representative",14,"Product feedback, Follow-up on proposal, Product demostration, Discuss project details, Customer inquiry, Follow-up on order, Contract negotiation",216,10162.77,11,0.41,150,A
Rocha-Jones,Large,Ridesharing & Mobility Services,North Lynn,North Carolina,2,"CFO, Sales Manager",16,"Customer inquiry, Product feedback, Follow-up on order, Product demostration, Follow-up on proposal, Contract negotiation",242,10185.35,8,0.47,82,B
"White, Fox and Johnston",Large,Automotive R&D and Testing Centers,Kimberlyhaven,New Hampshire,2,"CCO, CFO",12,"Product demostration, Follow-up on proposal, Customer inquiry, Follow-up on order, Contract negotiation, Discuss project details, Product feedback",101,9942.77,11,0.65,39,A
Ryan Group,Medium,Fleet Management,West Franktown,Alabama,2,"Technical Representative, CCO",17,"Contract negotiation, Product feedback, Product demostration, Discuss project details, Follow-up on order, Follow-up on proposal",33,10493.62,16,0.64,145,A
Bailey-Martinez,Large,Electric Vehicle (EV) Industry,Lake Jorgeton,Georgia,2,"CCO, Technical Representative",15,"Customer inquiry, Contract negotiation, Product demostration, Follow-up on order, Follow-up on proposal",53,9586.96,7,0.41,112,C
Stone-Torres,Medium,Automobile Manufacturers (OEMs),Maldonadotown,Connecticut,3,"Technical Manager, CFO",14,"Customer inquiry, Product feedback, Product demostration, Follow-up on order, Contract negotiation, Discuss project details",76,10222.08,10,0.62,121,B
Hampton-Mitchell,Small,Electric Vehicle (EV) Industry,East Aaron,Virginia,1,Technical Representative,12,"Contract negotiation, Product demostration, Follow-up on order, Discuss project details, Product feedback, Follow-up on proposal",137,9600.15,12,0.55,64,A
Sutton-Peterson,Medium,Connected Car Solutions Providers,Blairmouth,Wyoming,1,CEO,19,"Product demostration, Discuss project details, Follow-up on proposal, Product feedback, Contract negotiation, Customer inquiry",123,9915.22,12,0.6,240,A
"Barton, Stanley and Harmon",Large,Connected Car Solutions Providers,Ashleyfurt,Indiana,3,"CFO, CEO, CCO",13,"Customer inquiry, Follow-up on order, Contract negotiation, Product demostration, Discuss project details, Product feedback",140,9583.53,10,0.48,108,B
"Garcia, Chambers and Wolfe",Medium,Electric Vehicle (EV) Industry,South Kellyfurt,Arizona,1,Sales Manager,14,"Follow-up on proposal, Product feedback, Discuss project details, Contract negotiation, Customer inquiry, Product demostration, Follow-up on order",63,9963.13,9,0.33,39,B
"Wright, Cole and Wright",Small,Automobile Manufacturers (OEMs),Joelfort,California,2,"Sales Manager, CFO",20,"Product feedback, Follow-up on order, Contract negotiation, Customer inquiry, Follow-up on proposal, Product demostration, Discuss project details",103,9963.15,7,0.41,132,C
Watkins Group,Medium,Electric Vehicle (EV) Industry,Lake Ginaville,New York,2,"CFO, CEO",21,"Product demostration, Follow-up on order, Product feedback, Contract negotiation, Discuss project details, Follow-up on proposal, Customer inquiry",34,9188.69,6,0.4,35,C
Davis-Neal,Small,Automobile Manufacturers (OEMs),New Kelly,Colorado,2,"CCO, Sales Representative",11,"Customer inquiry, Product demostration, Product feedback, Contract negotiation, Follow-up on order, Follow-up on proposal, Discuss project details",124,9949.78,6,0.35,41,C
Singleton-Clark,Small,Fleet Management,Samuelside,Oregon,3,"Sales Manager, CCO, CEO",12,"Follow-up on order, Customer inquiry, Discuss project details, Product feedback, Product demostration, Follow-up on proposal",124,9801.87,6,0.43,49,C
Garcia LLC,Large,Automotive R&D and Testing Centers,East Darryl,New Hampshire,3,"Technical Manager, CFO",26,"Follow-up on proposal, Product demostration, Contract negotiation, Customer inquiry, Product feedback, Discuss project details, Follow-up on order",59,9696.1,15,0.68,53,A
Phillips Ltd,Large,Electric Vehicle (EV) Industry,Port Thomas,Kansas,4,"CFO, Sales Representative, CEO, CCO",19,"Contract negotiation, Product feedback, Customer inquiry, Follow-up on order, Discuss project details, Follow-up on proposal",57,10106.15,9,0.45,34,B
Holland-Terry,Medium,Ridesharing & Mobility Services,Port Shaunburgh,North Dakota,2,"CEO, Technical Representative",12,"Contract negotiation, Product demostration, Discuss project details, Follow-up on proposal, Customer inquiry, Product feedback",199,10100.17,7,0.39,115,C
"Lyons, Hoffman and Hunter",Large,Fleet Management,Mooreshire,Nevada,1,Sales Representative,15,"Customer inquiry, Discuss project details, Product feedback, Product demostration, Follow-up on order, Follow-up on proposal, Contract negotiation",113,10822.47,5,0.36,95,C
Velasquez-Werner,Medium,Fleet Management,Phillipmouth,Tennessee,3,"CCO, Technical Manager",12,"Product feedback, Discuss project details, Contract negotiation, Customer inquiry, Follow-up on proposal, Product demostration",89,10016.47,12,0.52,68,A
"Camacho, Carpenter and Gray",Medium,Connected Car Solutions Providers,West Justin,Connecticut,2,"CCO, CEO",13,"Discuss project details, Product demostration, Contract negotiation, Customer inquiry, Product feedback, Follow-up on proposal",49,9871.45,8,0.32,135,B
Morales-Gates,Large,Connected Car Solutions Providers,Port Chelsey,Arizona,2,Technical Representative,19,"Discuss project details, Follow-up on order, Customer inquiry, Follow-up on proposal, Contract negotiation, Product demostration",34,9885.16,18,0.56,79,A
Hamilton Inc,Small,Electric Vehicle (EV) Industry,New Scott,Montana,2,CCO,10,"Product feedback, Product demostration, Follow-up on order, Customer inquiry, Discuss project details",51,10059.88,7,0.5,149,C
Warren LLC,Large,Ridesharing & Mobility Services,Johnsonland,Tennessee,3,"Sales Representative, Technical Representative, CEO",21,"Follow-up on proposal, Follow-up on order, Discuss project details, Product feedback, Product demostration, Customer inquiry, Contract negotiation",112,9999.96,5,0.29,42,C
Sandoval-Burns,Large,Connected Car Solutions Providers,South Emily,New Hampshire,1,Sales Representative,18,"Discuss project details, Customer inquiry, Follow-up on order, Product demostration, Product feedback, Follow-up on proposal",178,10150.3,14,0.52,33,A
"Little, Rodriguez and Le",Small,Fleet Management,Hamiltonhaven,Alaska,1,Sales Manager,17,"Product feedback, Follow-up on order, Discuss project details, Follow-up on proposal, Customer inquiry, Product demostration",69,10343.28,4,0.44,34,C
Miller-Livingston,Medium,Electric Vehicle (EV) Industry,Lake Alisonhaven,Oklahoma,1,Technical Representative,19,"Customer inquiry, Discuss project details, Product demostration, Follow-up on order, Product feedback, Follow-up on proposal, Contract negotiation",41,9983.82,8,0.47,177,B
"George, Peterson and Peterson",Medium,Connected Car Solutions Providers,New Jenniferstad,Oklahoma,1,Sales Representative,10,"Product demostration, Follow-up on proposal, Contract negotiation, Product feedback, Follow-up on order, Discuss project details",59,10196.21,14,0.64,36,A
Warner and Sons,Medium,Automobile Manufacturers (OEMs),West Katelynburgh,Arkansas,2,"Sales Representative, CCO",15,"Contract negotiation, Product feedback, Follow-up on proposal, Customer inquiry, Product demostration, Follow-up on order, Discuss project details",48,10541.21,6,0.32,104,C
Heath LLC,Medium,Electric Vehicle (EV) Industry,Mayhaven,Virginia,1,Technical Representative,18,"Follow-up on proposal, Product feedback, Discuss project details, Contract negotiation, Follow-up on order, Product demostration, Customer inquiry",59,10018.37,7,0.41,68,C
Hughes Ltd,Small,Electric Vehicle (EV) Industry,West Eddie,Colorado,6,"Sales Manager, CCO, CEO, Sales Representative, Technical Representative",18,"Customer inquiry, Contract negotiation, Discuss project details, Follow-up on order, Product demostration, Follow-up on proposal, Product feedback",158,10149.92,10,0.53,173,B
"Cruz, Padilla and Gregory",Small,Connected Car Solutions Providers,New Nancyberg,Montana,1,CEO,15,"Product demostration, Discuss project details, Contract negotiation, Follow-up on proposal, Follow-up on order, Customer inquiry, Product feedback",34,10159.01,14,0.58,79,A
"Wilson, Erickson and Cisneros",Large,Ridesharing & Mobility Services,Lake Heatherborough,New Hampshire,2,"CCO, Technical Representative",11,"Product feedback, Discuss project details, Follow-up on order, Contract negotiation, Customer inquiry, Product demostration",140,10130.35,5,0.29,72,C
Mitchell-Moore,Medium,Connected Car Solutions Providers,Onealfort,Alabama,1,CCO,16,"Product demostration, Follow-up on proposal, Contract negotiation, Discuss project details, Product feedback, Customer inquiry",226,10056.79,14,0.52,50,A
Leach Inc,Medium,Fleet Management,Mossmouth,Massachusetts,1,Sales Representative,20,"Follow-up on proposal, Discuss project details, Product feedback, Product demostration, Customer inquiry, Follow-up on order",39,9890.97,9,0.53,55,B
"Lopez, Cruz and Yang",Small,Automobile Manufacturers (OEMs),Kathyborough,Arkansas,3,"CFO, Sales Manager, Technical Representative",15,"Contract negotiation, Discuss project details, Customer inquiry, Product feedback, Product demostration, Follow-up on proposal",76,9953.2,10,0.42,59,B
"Johnston, Davis and Green",Medium,Ridesharing & Mobility Services,North Shannon,Minnesota,2,"Sales Manager, Technical Representative",18,"Product demostration, Contract negotiation, Product feedback, Discuss project details, Follow-up on order, Follow-up on proposal, Customer inquiry",56,9575.68,3,0.17,66,C
Phelps-Anderson,Large,Electric Vehicle (EV) Industry,Michelefurt,New York,1,CCO,15,"Product feedback, Follow-up on order, Follow-up on proposal, Customer inquiry, Discuss project details, Product demostration",150,10387.92,8,0.42,42,B
Shelton Group,Small,Connected Car Solutions Providers,Port Adamfurt,Connecticut,2,"CEO, Sales Manager",12,"Discuss project details, Product demostration, Follow-up on proposal, Follow-up on order, Product feedback, Customer inquiry, Contract negotiation",59,10088.34,14,0.64,51,A
Bell-Davis,Medium,Connected Car Solutions Providers,West Noah,Illinois,2,"CFO, CCO",23,"Discuss project details, Product demostration, Contract negotiation, Customer inquiry, Product feedback, Follow-up on order",107,9915.9,9,0.43,109,B
Roberts-Horn,Large,Fleet Management,East Justin,New Hampshire,1,Sales Manager,17,"Product demostration, Product feedback, Customer inquiry, Follow-up on order, Follow-up on proposal",71,9918.0,11,0.55,66,A
Singleton Group,Medium,Automotive R&D and Testing Centers,Summersburgh,Kansas,1,CEO,15,"Product demostration, Customer inquiry, Follow-up on order, Follow-up on proposal, Product feedback, Discuss project details",42,10077.18,6,0.38,41,C
Macdonald-Fuentes,Small,Automotive R&D and Testing Centers,Nicholsstad,Washington,3,"Technical Manager, CCO, CEO",15,"Follow-up on proposal, Contract negotiation, Product feedback, Customer inquiry, Discuss project details, Follow-up on order",116,9930.0,13,0.62,44,A
Silva-Carr,Small,Fleet Management,New Lori,Texas,1,Sales Representative,14,"Product feedback, Follow-up on order, Product demostration, Customer inquiry, Follow-up on proposal",36,10285.74,5,0.36,112,C
Thompson Inc,Small,Automobile Manufacturers (OEMs),South Dianashire,Mississippi,4,"CFO, CCO, Technical Manager",15,"Product demostration, Follow-up on proposal, Customer inquiry, Contract negotiation, Product feedback, Follow-up on order, Discuss project details",40,9864.0,12,0.48,47,A
Allen-Savage,Small,Ridesharing & Mobility Services,Lake Bryan,Tennessee,2,"Sales Manager, Sales Representative",18,"Contract negotiation, Product feedback, Product demostration, Discuss project details, Follow-up on order, Customer inquiry, Follow-up on proposal",189,10065.76,7,0.41,59,C
"Lambert, Santiago and Jenkins",Medium,Fleet Management,North Larrymouth,Pennsylvania,4,"CCO, CEO, Technical Representative, Sales Manager",14,"Contract negotiation, Follow-up on proposal, Discuss project details, Product feedback, Follow-up on order, Customer inquiry, Product demostration",58,10019.67,11,0.5,40,A
Sparks-Johnson,Large,Connected Car Solutions Providers,Cowanfort,Indiana,1,Technical Representative,15,"Contract negotiation, Follow-up on proposal, Follow-up on order, Discuss project details, Customer inquiry, Product feedback",70,10098.01,10,0.59,113,B
Wilson LLC,Large,Automobile Manufacturers (OEMs),Paulmouth,Maryland,2,"Sales Representative, CEO",10,"Contract negotiation, Discuss project details, Product feedback, Product demostration, Follow-up on proposal, Customer inquiry",34,10151.02,11,0.52,101,A
"Lewis, Neal and Jackson",Small,Automotive R&D and Testing Centers,Brianchester,Kansas,2,"CFO, Sales Manager",16,"Product demostration, Contract negotiation, Product feedback, Follow-up on order, Customer inquiry, Follow-up on proposal",144,9723.81,3,0.17,66,C
Cruz-Cunningham,Large,Ridesharing & Mobility Services,Kathrynshire,Minnesota,1,CCO,15,"Product feedback, Follow-up on order, Product demostration, Discuss project details, Follow-up on proposal, Customer inquiry, Contract negotiation",99,10194.89,14,0.64,34,A
Cole-Russell,Small,Ridesharing & Mobility Services,East Heather,Michigan,1,Sales Manager,10,"Follow-up on order, Product demostration, Contract negotiation, Follow-up on proposal",68,9946.34,8,0.36,159,B
Decker-Gardner,Medium,Connected Car Solutions Providers,North Tammyville,Oklahoma,1,CEO,13,"Product demostration, Product feedback, Contract negotiation, Discuss project details, Follow-up on proposal, Customer inquiry",84,9883.14,9,0.45,70,B
"Diaz, Cox and Williams",Medium,Fleet Management,Port Robertside,Washington,1,Sales Representative,13,"Product demostration, Discuss project details, Contract negotiation",64,9790.67,8,0.4,163,B
Davis-Lawson,Large,Electric Vehicle (EV) Industry,Danafurt,New Mexico,1,Technical Representative,8,"Product feedback, Discuss project details, Customer inquiry",102,10211.72,8,0.32,84,B
Moore PLC,Large,Ridesharing & Mobility Services,Port Alecbury,Pennsylvania,3,"CFO, Technical Manager, CEO",15,"Product feedback, Contract negotiation, Follow-up on order, Follow-up on proposal, Customer inquiry, Product demostration",66,10163.76,9,0.45,50,B
Martin LLC,Small,Automobile Manufacturers (OEMs),East Luke,Washington,2,"CCO, CEO",20,"Discuss project details, Contract negotiation, Customer inquiry, Product demostration, Follow-up on order, Product feedback",85,9703.68,10,0.48,51,B
Contreras Inc,Large,Electric Vehicle (EV) Industry,Murphyview,Connecticut,4,"Technical Representative, Sales Representative, Sales Manager",11,"Follow-up on order, Follow-up on proposal, Contract negotiation, Customer inquiry, Discuss project details, Product feedback, Product demostration",98,10021.83,8,0.35,124,B
Williams LLC,Large,Automobile Manufacturers (OEMs),Hensleyburgh,Vermont,1,Technical Manager,22,"Contract negotiation, Customer inquiry, Follow-up on order, Follow-up on proposal, Product demostration, Product feedback",138,10203.63,8,0.44,63,B
Stone-Lawrence,Small,Automobile Manufacturers (OEMs),Jocelynfort,Massachusetts,3,"CFO, CCO, Technical Manager",23,"Contract negotiation, Product feedback, Discuss project details, Follow-up on order, Customer inquiry, Follow-up on proposal, Product demostration",109,10444.07,17,0.63,81,A
"Cochran, Jones and Murphy",Small,Connected Car Solutions Providers,South Josemouth,Arkansas,2,"Sales Representative, Technical Representative",14,"Follow-up on proposal, Product feedback, Product demostration, Contract negotiation, Follow-up on order, Customer inquiry, Discuss project details",234,9976.33,10,0.45,36,B
"Wilson, Martin and Turner",Large,Automobile Manufacturers (OEMs),Burkemouth,Michigan,2,"Technical Manager, Sales Manager",13,"Customer inquiry, Discuss project details, Product demostration, Follow-up on proposal, Contract negotiation, Product feedback",34,9593.15,12,0.63,225,A
Phillips PLC,Small,Ridesharing & Mobility Services,Nicholasburgh,South Carolina,1,Sales Representative,12,"Customer inquiry, Follow-up on proposal, Product demostration, Follow-up on order, Contract negotiation, Discuss project details",141,10457.48,3,0.27,61,C
Lee-Joseph,Medium,Ridesharing & Mobility Services,Stephaniehaven,New Mexico,1,CCO,13,"Follow-up on proposal, Discuss project details, Product feedback, Follow-up on order, Product demostration, Customer inquiry, Contract negotiation",109,9855.13,7,0.41,59,C
Wade-Foster,Medium,Automobile Manufacturers (OEMs),Lake Carolynshire,Tennessee,2,"Sales Manager, Technical Manager",14,"Discuss project details, Contract negotiation, Customer inquiry, Follow-up on order, Product demostration, Product feedback",117,9922.84,8,0.67,67,B
Blanchard-Ray,Medium,Connected Car Solutions Providers,Wolfefort,Indiana,4,"CEO, Sales Representative, Technical Representative",12,"Product demostration, Product feedback, Customer inquiry, Discuss project details, Follow-up on order",108,10032.14,8,0.32,59,B
Chambers Inc,Medium,Connected Car Solutions Providers,South Juliebury,Delaware,3,"Sales Manager, CCO, Technical Manager",10,"Discuss project details, Follow-up on proposal, Customer inquiry, Product demostration, Product feedback, Follow-up on order",39,10064.2,9,0.56,33,B
"Nelson, Burke and Mathis",Large,Ridesharing & Mobility Services,East Laura,Mississippi,1,Technical Representative,10,"Discuss project details, Contract negotiation, Product demostration, Product feedback",236,9792.85,10,0.5,36,B
"Levine, Lane and Young",Small,Ridesharing & Mobility Services,Walkerburgh,Arizona,1,Technical Representative,24,"Product feedback, Discuss project details, Follow-up on order, Customer inquiry, Contract negotiation, Follow-up on proposal",93,10288.81,10,0.56,54,B
"Smith, Ryan and Martin",Medium,Fleet Management,East Stephanie,New York,4,"Technical Representative, CCO, Technical Manager, CFO",22,"Product demostration, Discuss project details, Product feedback, Customer inquiry, Follow-up on proposal, Contract negotiation, Follow-up on order",154,10171.23,13,0.48,63,A
"Hanson, Rodriguez and Avila",Small,Fleet Management,Simmonsberg,New York,3,"CCO, Sales Representative, Technical Manager",18,"Discuss project details, Product demostration, Contract negotiation, Follow-up on order, Customer inquiry, Product feedback, Follow-up on proposal",114,10027.97,8,0.32,85,B
Thompson PLC,Large,Ridesharing & Mobility Services,Jodyburgh,Maryland,1,CEO,19,"Discuss project details, Contract negotiation, Customer inquiry, Product demostration, Product feedback, Follow-up on proposal, Follow-up on order",70,10180.23,11,0.61,67,A
"Perez, Williams and Brown",Small,Automobile Manufacturers (OEMs),Blackshire,New Jersey,1,Sales Representative,18,"Customer inquiry, Follow-up on order, Contract negotiation, Product demostration, Product feedback, Discuss project details, Follow-up on proposal",95,9908.5,6,0.38,113,C
Walls-Berry,Large,Automotive R&D and Testing Centers,Port Timothymouth,Wyoming,1,CCO,15,"Product demostration, Contract negotiation, Customer inquiry, Product feedback, Follow-up on proposal, Discuss project details, Follow-up on order",131,9633.77,12,0.5,96,A
"Collier, Alvarez and Myers",Small,Ridesharing & Mobility Services,East Richard,Wyoming,2,"Technical Manager, Technical Representative",15,"Product demostration, Follow-up on order, Product feedback, Customer inquiry, Follow-up on proposal, Contract negotiation, Discuss project details",157,9743.5,9,0.56,88,B
Wilson-Frost,Medium,Automobile Manufacturers (OEMs),Katherineview,South Dakota,3,"Sales Representative, CFO, CEO",15,"Product feedback, Discuss project details, Contract negotiation, Product demostration, Customer inquiry, Follow-up on proposal",54,9607.53,10,0.56,40,B
Mccormick-Johnson,Medium,Electric Vehicle (EV) Industry,Owensburgh,Mississippi,2,"CFO, Technical Representative",13,"Product demostration, Product feedback, Contract negotiation, Follow-up on proposal, Follow-up on order, Customer inquiry",70,10467.29,7,0.41,47,C
Hancock and Sons,Medium,Electric Vehicle (EV) Industry,Hallbury,Arizona,2,"CCO, Sales Manager",13,"Follow-up on proposal, Contract negotiation, Discuss project details, Product demostration, Follow-up on order, Customer inquiry, Product feedback",142,10169.71,8,0.44,100,B
Lee Group,Small,Fleet Management,Andrewshire,South Dakota,1,CEO,13,"Product demostration, Discuss project details, Customer inquiry, Contract negotiation, Product feedback, Follow-up on order",85,10000.91,13,0.52,55,A
Bean-Rojas,Large,Automobile Manufacturers (OEMs),East Tony,Connecticut,1,Sales Manager,16,"Follow-up on proposal, Discuss project details, Customer inquiry, Product demostration, Follow-up on order, Contract negotiation, Product feedback",51,9980.8,14,0.5,50,A
Flores Ltd,Large,Electric Vehicle (EV) Industry,Parkport,Florida,2,"Sales Manager, Sales Representative",25,"Discuss project details, Product feedback, Follow-up on proposal, Follow-up on order, Customer inquiry, Contract negotiation",149,10046.11,17,0.68,90,A
Hill-Reed,Small,Automotive R&D and Testing Centers,West Jasonshire,New York,1,Sales Manager,13,"Contract negotiation, Product demostration, Product feedback, Follow-up on order, Customer inquiry, Follow-up on proposal",175,10199.56,12,0.52,48,A
Strickland PLC,Small,Electric Vehicle (EV) Industry,Lake Elaineview,Missouri,2,"Technical Representative, Technical Manager",15,"Product demostration, Customer inquiry, Contract negotiation, Follow-up on order, Discuss project details, Product feedback",149,10018.1,9,0.5,87,B
Flores and Sons,Large,Electric Vehicle (EV) Industry,North Jessica,Mississippi,1,CFO,14,"Product demostration, Product feedback, Follow-up on order, Discuss project details, Contract negotiation, Customer inquiry, Follow-up on proposal",36,10279.22,10,0.56,48,B
Bell-Gibson,Large,Connected Car Solutions Providers,Morganhaven,Arkansas,1,CEO,14,"Follow-up on order, Product demostration, Product feedback, Follow-up on proposal, Discuss project details, Customer inquiry",60,9887.79,10,0.5,178,B
Wells Inc,Small,Automobile Manufacturers (OEMs),Williamborough,Connecticut,1,Technical Manager,15,"Product feedback, Customer inquiry, Product demostration, Contract negotiation, Follow-up on proposal, Discuss project details, Follow-up on order",68,9892.78,11,0.48,190,A
"Wright, Meadows and Baxter",Medium,Fleet Management,Pamelahaven,Montana,1,CFO,17,"Product feedback, Follow-up on proposal, Product demostration, Customer inquiry, Contract negotiation, Discuss project details, Follow-up on order",93,9927.23,13,0.48,44,A
Gregory-Harrell,Medium,Electric Vehicle (EV) Industry,Lake Annemouth,Michigan,2,"CFO, Technical Manager",21,"Customer inquiry, Discuss project details, Contract negotiation, Product demostration, Follow-up on proposal, Follow-up on order",36,9893.7,14,0.67,37,A
Fowler-Russell,Medium,Automotive R&D and Testing Centers,Johnfort,Wyoming,2,"CEO, CCO",8,"Follow-up on proposal, Customer inquiry, Discuss project details, Contract negotiation",200,9690.43,13,0.76,65,A
"Cortez, Dickerson and Little",Medium,Automobile Manufacturers (OEMs),South Mary,Michigan,1,Technical Representative,14,"Discuss project details, Follow-up on order, Contract negotiation, Follow-up on proposal, Customer inquiry, Product demostration",71,9988.67,12,0.6,73,A
Price Ltd,Medium,Fleet Management,Barneschester,New Mexico,2,"CFO, Sales Manager",14,"Product feedback, Product demostration, Discuss project details, Follow-up on proposal, Customer inquiry, Follow-up on order, Contract negotiation",92,9954.74,8,0.44,112,B
Harrison-Roth,Small,Electric Vehicle (EV) Industry,Josephport,Ohio,3,"Technical Manager, CEO",24,"Follow-up on proposal, Follow-up on order, Customer inquiry, Discuss project details, Product feedback, Contract negotiation",36,9925.11,10,0.43,73,B
Robles Ltd,Small,Ridesharing & Mobility Services,Jessicashire,Florida,2,"Sales Manager, Technical Representative",15,"Discuss project details, Product feedback, Follow-up on proposal, Product demostration, Customer inquiry",159,9884.79,9,0.47,41,B
Russell Ltd,Large,Automobile Manufacturers (OEMs),South David,Washington,1,CEO,18,"Product feedback, Contract negotiation, Follow-up on proposal, Discuss project details, Customer inquiry, Follow-up on order",108,9641.38,6,0.29,91,C
"Myers, Phillips and Smith",Large,Ridesharing & Mobility Services,Georgeport,Massachusetts,2,"Technical Representative, CFO",15,"Discuss project details, Follow-up on proposal, Contract negotiation, Product demostration, Customer inquiry, Product feedback, Follow-up on order",107,9827.48,9,0.6,76,B
"Black, Mccarthy and Macias",Large,Connected Car Solutions Providers,Lake Christopherborough,Hawaii,1,Technical Manager,17,"Follow-up on order, Customer inquiry, Product feedback, Contract negotiation, Discuss project details, Follow-up on proposal, Product demostration",111,10158.06,6,0.43,151,C
Robinson PLC,Small,Automobile Manufacturers (OEMs),South Randymouth,California,1,CEO,17,"Customer inquiry, Contract negotiation, Discuss project details, Product demostration, Follow-up on order, Product feedback",165,9742.92,6,0.43,194,C
"Edwards, Chambers and Garrison",Small,Automotive R&D and Testing Centers,Hoganside,Massachusetts,1,Technical Representative,20,"Follow-up on proposal, Product demostration, Contract negotiation, Discuss project details, Customer inquiry, Product feedback",118,10026.6,9,0.38,53,B
Holmes Group,Small,Fleet Management,Benitezshire,New Mexico,2,CCO,20,"Product feedback, Contract negotiation, Follow-up on order, Customer inquiry, Follow-up on proposal, Discuss project details, Product demostration",116,9727.17,10,0.38,40,B
Day-Marshall,Medium,Connected Car Solutions Providers,Denisetown,Ohio,1,CFO,17,"Contract negotiation, Product feedback, Customer inquiry, Product demostration, Follow-up on proposal, Follow-up on order, Discuss project details",68,9908.47,10,0.43,74,B
Ewing-Wagner,Large,Automobile Manufacturers (OEMs),New Veronicaburgh,Pennsylvania,4,"CFO, CEO, CCO",21,"Follow-up on proposal, Product feedback, Customer inquiry, Product demostration, Follow-up on order, Discuss project details, Contract negotiation",116,10141.56,14,0.45,34,A
Johnson Group,Large,Ridesharing & Mobility Services,Ryanfurt,Wisconsin,1,Sales Manager,13,"Discuss project details, Follow-up on order, Customer inquiry, Product demostration, Follow-up on proposal, Contract negotiation, Product feedback",90,9920.75,14,0.5,33,A
Hood Ltd,Large,Connected Car Solutions Providers,Whiteview,Montana,3,Technical Representative,10,"Product demostration, Contract negotiation, Follow-up on order, Product feedback, Customer inquiry, Discuss project details",209,10309.69,5,0.31,128,C
Torres-Sanchez,Large,Connected Car Solutions Providers,East Tinaton,Maine,2,CCO,20,"Customer inquiry, Follow-up on order, Contract negotiation, Follow-up on proposal, Product feedback, Product demostration",91,9834.16,11,0.52,101,A
